ISIN,Local 1,Ticker,Issuer,Issuer Country,Coupon,Workout date,Final Maturity,Expected Remaining Life,Time To Maturity,Next Call Date,Next Coupon Date,Coupon Frequency,Bid Price,Ask Price,Bid_Ask_Spread,Index Price,Accrued Interest,Dirty Index Price,Coupon Payment,Notional Amount,Capped Notional Amount,Market Value,Capped Market Value,Cash Payment,Capped Cash Payment,Street Yield,Annual Yield,Semi-Annual Yield,Street Yield to Maturity,Annual Yield to Maturity,Semi-Annual Yield to Maturity,Duration,Street Modified Duration,Annual Modified Duration,Semi-Annual Modified Duration,Street Modified Duration to Maturity,Annual Modified Duration to Maturity,Semi-Annual Modified Duration to Maturity,Effective OA duration,Street Convexity,Annual Convexity,Semi-Annual Convexity,Street Convexity to Maturity,Annual Convexity to Maturity,Semi-Annual Convexity to Maturity,OA Convexity,Benchmark ISIN,Annual Benchmark Spread,Semi-Annual Benchmark Spread,Annual Benchmark Spread to BM-Curve,Semi-Annual Benchmark Spread to BM-Curve,Asset Swap Margin,OAS,Z-Spread,Z-Spread Over Libor,DV 01,Level 1,Level 4,Level 5,Level 6,Level 7,Level 8,Markit iBoxx Rating,Seniority Level 1,Seniority Level 2,Is Hybrid Capital,is Callable,1-5 Years,1-10 Years,1-15 Years,1-20 Years,3-5 Years,5-7 Years,5-10 Years,5-15 Years,7-10 Years,10-15 Years,15-20 Years,15-25 Years,20-25 Years,25-30 Years,5+ Years,7+ Years,10+ Years,15+ Years,25+ Years,30+ Years,Daily Return,Month-to-Date Return,Quarter-to-Date Return,Year-to-Date Return,Daily Sovereign Curve Swap Return,Daily Libor Swap Return,Month-to-date Sovereign Curve Swap Return,Month-to-date Libor Swap Return,Duration weighted exposure
US20030NAC56,,CMCSA,COMCAST CORP,UNITED STATES,7.05,15/03/2033,15/03/2033,17.13888889,17.13888889,,15/03/2016,2,126.82982,128.20503,1.37521,126.82982,2.545833333,129.3756533,0.0,750000000,750000000.0,970317400.0,970317400.0,0.0,0.0,4.744532774,4.800809252,4.744532774,4.744532774,4.800809252,4.744532774,10.80686796,10.55644105,10.31181728,10.55644105,10.55644105,10.31181728,10.55644105,10.63850618,152.2278692,150.1742009,152.2278692,152.2278692,150.1742009,152.2278692,150.4566146,US912828M565,276.6630383,272.0594719,247.7380383,243.4793813,295.7512896,247.5355059,247.5438901,269.9073232,0.137636369,D,Non-Financials,Consumer Services,Media,Media,Broadcasting & Entertainment,A,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,-0.01497182,-0.006422605,-0.006422605,-0.006422605,0.002834552,0.002944555,0.026303566,0.043290389,0.003810873
US013716AU93,,RIOLN,Alcan Inc,CANADA,6.125,15/12/2033,15/12/2033,17.88888889,17.88888889,,15/06/2016,2,99.2422,100.71134,1.46914,99.2422,0.680555556,99.92275556,0.0,750000000,750000000.0,749420666.7,749420666.7,0.0,0.0,6.194923163,6.290865845,6.194923163,6.194923163,6.290865845,6.194923163,11.00743862,10.67673098,10.35595913,10.67673098,10.67673098,10.35595913,10.67673098,10.8145154,157.5991356,153.1430889,157.5991356,157.5991356,153.1430889,157.5991356,157.6617285,US912828M565,425.6686976,417.0985108,393.7857052,385.5956997,389.5053511,394.5152257,394.5390243,417.8881752,0.108061618,G,Non-Financials,Basic Materials,Basic Resources,Industrial Metals,Aluminium,A,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.004792358,0.000220552,0.000220552,0.000220552,0.002906038,0.003041375,0.026869678,0.044645685,0.002943312
US983024AG50,,PFE,Wyeth,UNITED STATES,6.5,1/2/2034,1/2/2034,18.01666667,18.01666667,,1/2/2016,2,127.01733,128.48518,1.46785,127.01733,3.141666667,130.1589967,0.0,750000000,750000000.0,976192475.0,976192475.0,0.0,0.0,4.325506983,4.37228201,4.325506983,4.325506983,4.37228201,4.325506983,11.43690342,11.19478776,10.95779761,11.19478776,11.19478776,10.95779761,11.19478776,11.25764132,170.7328397,168.8300142,170.7328397,170.7328397,168.8300142,170.7328397,168.3682905,US912828M565,233.8103141,230.1568928,201.4233675,198.1561367,245.3712223,199.7560235,199.7936887,223.8779413,0.14652833,D,Non-Financials,Health Care,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,AA,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,-0.001997885,0.020875106,0.020875106,0.020875106,0.002918595,0.003057034,0.027004311,0.044884396,0.003833947
US4042Q1AA55,,HSBC,HSBC Bank USA N.A.,UNITED STATES,5.875,1/11/2034,1/11/2034,18.76666667,18.76666667,,1/5/2016,2,115.52569,116.43258,0.90689,115.52569,1.370833333,116.8965233,0.0,1000000000,1000000000.0,1168965233.0,1168965233.0,0.0,0.0,4.627487842,4.681021951,4.627487842,4.627487842,4.681021951,4.627487842,12.00420864,11.73274301,11.46741636,11.73274301,11.73274301,11.46741636,11.73274301,11.80161574,185.8702936,183.0360443,185.8702936,185.8702936,183.0360443,185.8702936,183.7396793,US912828M565,264.6843082,260.3549787,229.3393692,225.4315021,260.1135663,227.366856,227.3747389,252.6584261,0.137956785,G,Financials,Financials,Banks,Banks,Banks,A,SUB,LT2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.005554701,0.00064703,0.00064703,0.00064703,0.002977078,0.003151319,0.027646057,0.046196786,0.004591052
US65334HAE27,,CNOOC,Nexen Inc,CANADA,5.875,10/3/2035,10/3/2035,19.125,19.125,,10/3/2016,2,109.39152,110.69012,1.2986,109.39152,2.203125,111.594645,0.0,790000000,790000000.0,881597695.5,881597695.5,0.0,0.0,5.099799609,5.164819499,5.099799609,5.099799609,5.164819499,5.099799609,11.84169288,11.54724959,11.26012762,11.54724959,11.54724959,11.26012762,11.54724959,11.62593274,184.0830466,180.3959834,184.0830466,184.0830466,180.3959834,184.0830466,182.4345803,US912828M565,313.064063,307.5861554,276.3058609,271.2662679,298.8369354,275.4121041,275.4230136,300.9075012,0.129739184,D,Non-Financials,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,AA,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.000478732,0.020916305,0.020916305,0.020916305,0.003003256,0.003194951,0.028013363,0.046821597,0.003462431
US90131HBF10,,FOXA,21st Century Fox America Inc,UNITED STATES,6.2,15/12/2034,15/12/2034,18.88888889,18.88888889,,15/06/2016,2,111.76469,112.34406,0.57937,111.76469,0.688888889,112.4535789,0.0,1000000000,1000000000.0,1124535789.0,1124535789.0,0.0,0.0,5.212947224,5.280884271,5.212947224,5.212947224,5.280884271,5.212947224,11.74007007,11.44184149,11.1511887,11.44184149,11.44184149,11.1511887,11.44184149,11.52681382,179.1754024,175.4838953,179.1754024,179.1754024,175.4838953,179.1754024,177.6775247,US912828M565,324.6705402,318.9009169,288.843558,283.5011451,315.8628992,288.6471049,288.6675946,313.6443773,0.129623147,D,Non-Financials,Consumer Services,Media,Media,Broadcasting & Entertainment,BBB,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.002809799,-0.015251743,-0.015251743,-0.015251743,0.002987349,0.003166505,0.027779811,0.04640739,0.004416558
US929903AM44,,WFC,Wachovia Corp,UNITED STATES,5.5,1/8/2035,1/8/2035,19.51666667,19.51666667,,1/2/2016,2,109.40048,109.68865,0.28817,109.40048,2.658333333,112.0588133,0.0,800000000,800000000.0,896470506.7,896470506.7,0.0,0.0,4.755338239,4.811871343,4.755338239,4.755338239,4.811871343,4.755338239,12.2510182,11.96649456,11.68857883,11.96649456,11.96649456,11.68857883,11.96649456,12.03346951,196.5345691,193.0877256,196.5345691,196.5345691,193.0877256,196.5345691,194.4559512,US912828M565,277.7692474,273.1400184,239.466316,235.2938213,261.8686651,237.3415926,237.3825526,263.7206428,0.134845631,D,Financials,Financials,Banks,Banks,Banks,A,SUB,LT2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.002870942,-0.006790813,-0.006790813,-0.006790813,0.003032736,0.003242762,0.028430732,0.047492501,0.003520843
US4042Q1AB39,,HSBC,HSBC Bank USA N.A.,UNITED STATES,5.625,15/08/2035,15/08/2035,19.55555556,19.55555556,,15/02/2016,2,111.4636,112.81219,1.34859,111.4636,2.5,113.9636,0.0,750000000,750000000.0,854727000.0,854727000.0,0.0,0.0,4.720492134,4.776199749,4.720492134,4.720492134,4.776199749,4.720492134,12.24879588,11.96636033,11.69043724,11.96636033,11.96636033,11.69043724,11.96636033,12.02864457,196.486073,193.1080647,196.486073,196.486073,193.1080647,196.486073,194.2658052,US912828M565,274.202088,269.6554079,235.7457792,231.6576623,261.5780038,233.8831468,233.9190378,260.2370597,0.137082764,G,Financials,Financials,Banks,Banks,Banks,A,SUB,LT2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.001848429,-0.00877109,-0.00877109,-0.00877109,0.003035298,0.003247142,0.028467456,0.047557554,0.003356897
US20030NAK72,,CMCSA,COMCAST CORP,UNITED STATES,6.5,15/11/2035,15/11/2035,19.80555556,19.80555556,,15/05/2016,2,125.35047,126.76693,1.41646,125.35047,1.263888889,126.6143589,0.0,1000000000,1000000000.0,1266143589.0,1266143589.0,0.0,0.0,4.544512355,4.596143836,4.544512355,4.544512355,4.596143836,4.544512355,12.219792,11.9482961,11.68283222,11.9482961,11.9482961,11.68283222,11.9482961,11.98648412,195.6886349,192.6744559,195.6886349,195.6886349,192.6744559,195.6886349,192.7398878,US912828M565,256.1964967,252.05743,216.7541904,213.0854443,263.7506084,216.634596,216.6366599,242.7650792,0.1517661,D,Non-Financials,Consumer Services,Media,Media,Broadcasting & Entertainment,A,*,*,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.000761446,0.004001064,0.004001064,0.004001064,0.003048834,0.003277898,0.028767062,0.047970523,0.004972716
US94973VAL18,,ANTM,Anthem Inc,UNITED STATES,5.85,15/01/2036,15/01/2036,19.97222222,19.97222222,,15/07/2016,2,111.07381,112.43544,1.36163,111.07381,0.1625,111.23631,2.925,779200000,779200000.0,866753327.5,866753327.5,22791600.0,22791600.0,4.969143861,5.030874837,4.969143861,4.969143861,5.030874837,4.969143861,12.44423859,12.14254825,11.84817189,12.14254825,12.14254825,11.84817189,12.14254825,12.20419299,200.8701207,196.888969,200.8701207,200.8701207,196.888969,200.8701207,198.7015781,US912810RP57,220.7897999,216.5813673,259.5699589,254.8991014,286.1623113,259.0541048,259.0651411,285.5408136,0.135754939,G,Non-Financials,Health Care,Health Care,Health Care Equipment & Services,Health Care Providers,BBB,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0.011041753,-0.002170098,-0.002170098,-0.002170098,0.003058925,0.003298476,0.028998718,0.048181943,0.003493643
US20030NAM39,,CMCSA,COMCAST CORP,UNITED STATES,6.45,15/03/2037,15/03/2037,21.13888889,21.13888889,,15/03/2016,2,124.97586,126.2145,1.23864,124.97586,2.329166667,127.3050267,0.0,1850000000,1850000000.0,2355142993.0,2355142993.0,0.0,0.0,4.590829926,4.643519224,4.590829926,4.590829926,4.643519224,4.590829926,12.59593976,12.31329846,12.03699938,12.31329846,12.31329846,12.03699938,12.31329846,12.32656833,212.1971663,208.5324229,212.1971663,212.1971663,208.5324229,212.1971663,208.5956688,US912810RP57,182.0542386,178.7499738,216.2330761,212.5212538,266.5830581,217.4166459,217.4227572,245.6723573,0.156923411,D,Non-Financials,Consumer Services,Media,Media,Broadcasting & Entertainment,A,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0.001466111,0.009465606,0.009465606,0.009465606,0.003120427,0.003342916,0.030521577,0.050008003,0.009249706
US38143YAC75,,GS,GOLDMAN SACHS GROUP INC,UNITED STATES,6.45,1/5/2036,1/5/2036,20.26666667,20.26666667,,1/5/2016,2,112.25249,112.98188,0.72939,112.25249,1.505,113.75749,0.0,1500000000,1500000000.0,1706362350.0,1706362350.0,0.0,0.0,5.443540377,5.517620706,5.443540377,5.443540377,5.517620706,5.443540377,11.92937889,11.61329178,11.30557988,11.61329178,11.61329178,11.30557988,11.61329178,11.67784357,190.2203104,185.6307023,190.2203104,190.2203104,185.6307023,190.2203104,188.3680505,US912810RP57,269.4643868,264.0210189,307.0832599,301.1913146,338.4918038,309.1266818,309.1410485,335.4714553,0.132844217,G,Financials,Financials,Banks,Banks,Banks,BBB,SUB,LT2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0.000497885,-0.003019928,-0.003019928,-0.003019928,0.003076118,0.003300163,0.029320331,0.048599424,0.006701653
US026874AZ07,,AIG,American International Group Inc,UNITED STATES,6.25,1/5/2036,1/5/2036,20.26666667,20.26666667,,1/5/2016,2,113.49315,114.86566,1.37251,113.49315,1.458333333,114.9514833,0.0,1000000000,1000000000.0,1149514833.0,1149514833.0,0.0,0.0,5.167220894,5.233971323,5.167220894,5.167220894,5.233971323,5.167220894,12.14895915,11.84298261,11.54471222,11.84298261,11.84298261,11.54471222,11.84298261,11.8997666,195.8432864,191.5879825,195.8432864,195.8432864,191.5879825,195.8432864,193.6727762,US912810RP57,241.0994485,236.3890706,278.7183216,273.5593663,311.4693534,279.7667654,279.7803966,306.3885571,0.136789582,G,Financials,Financials,Insurance,Nonlife Insurance,Full Line Insurance,BBB,SEN,*,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0.001482064,-0.007689623,-0.007689623,-0.007689623,0.003076118,0.003300163,0.029320331,0.048599424,0.004514662
US244199BC83,,DE,Deere & Co,UNITED STATES,4.375,16/10/2019,16/10/2019,3.725,3.725,,16/04/2016,2,108.19812,108.29182,0.0937,108.19812,1.203125,109.401245,0.0,750000000,750000000.0,820509337.5,820509337.5,0.0,0.0,2.075798056,2.0865704,2.075798056,2.075798056,2.0865704,2.075798056,3.452016439,3.416556037,3.381459898,3.416556037,3.416556037,3.381459898,3.416556037,3.449147919,13.96321827,15.33399365,13.96321827,13.96321827,15.33399365,13.96321827,12.51079701,US912828N225,99.9038856,99.1207355,84.56639483,83.88007009,88.2814868,84.30449591,84.30218998,86.5339747,0.037734108,D,Non-Financials,Industrials,Industrial Goods & Services,Industrial Engineering,Commercial Vehicles & Trucks,A,*,*,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001717077,0.00629263,0.00629263,0.00629263,0.000389603,0.000387979,0.011145791,0.012802984,0.003222509
US780097AW11,,RBS,The Royal Bank of Scotland Group Plc,UNITED KINGDOM,6.4,21/10/2019,21/10/2019,3.738888889,3.738888889,,21/04/2016,2,110.79688,110.982,0.18512,110.79688,1.671111111,112.4679911,0.0,1500000000,1500000000.0,1687019867.0,1687019867.0,0.0,0.0,3.304571543,3.331872025,3.304571543,3.304571543,3.331872025,3.304571543,3.356250665,3.301697192,3.248030447,3.301697192,3.301697192,3.248030447,3.301697192,3.35266462,13.31830651,14.46051585,13.31830651,13.31830651,14.46051585,13.31830651,12.06231608,US912828N225,224.4340481,221.9980842,208.8420589,206.5045271,218.1994522,209.5564927,209.554127,211.3785338,0.037706745,G,Financials,Financials,Banks,Banks,Banks,BBB,SEN,*,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083955,0.002199824,0.002199824,0.002199824,0.000392638,0.000388173,0.011204178,0.012860153,0.006625686
US42809HAB33,,HES,Hess Corp,UNITED STATES,8.125,15/02/2019,15/02/2019,3.055555556,3.055555556,,15/02/2016,2,104.60255,104.88356,0.28101,104.60255,3.611111111,108.2136611,0.0,1000000000,1000000000.0,1082136611.0,1082136611.0,0.0,0.0,6.439290062,6.542951203,6.439290062,6.439290062,6.542951203,6.439290062,2.682550911,2.598876319,2.517811719,2.598876319,2.598876319,2.517811719,2.598876319,2.683779811,8.653175963,9.303367055,8.653175963,8.653175963,9.303367055,8.653175963,7.886516739,US912828N225,545.5419659,535.4699361,542.4712969,532.4186522,538.0797092,545.6155227,545.6593813,543.0468624,0.029042164,G,Non-Financials,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,BBB,*,*,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000782661,-0.07205209,-0.07205209,-0.07205209,0.000251837,0.000368039,0.008302058,0.010143253,0.004250037
